obaf_number,source_af_type,number_arguments,cycle_probability,instance_number,beta,base_degree,semantics,reliability,number_of_agents,distribution_type,truth_extension,cosar_base_score,cosar_na_score,cosar_bayesian_score,wct_score,css_score
244,BA,10,0.3,2,,,PR,0.4,10,average,a3|a4|a6|a7|a8|a9,0,0,0,0,0
245,BA,10,0.3,2,,,PR,0.4,15,uniform,a3|a4|a5|a6|a7|a8,0,0,0,0,0
246,BA,10,0.3,2,,,PR,0.4,15,average,a0|a3|a4|a6|a7|a9,0,0,0,0,0
247,BA,10,0.3,2,,,PR,0.4,20,uniform,a0|a3|a4|a6|a7|a9,0,0,0,0,0
248,BA,10,0.3,2,,,PR,0.4,20,average,a3|a4|a5|a6|a7|a8,0,0,0,0,0
249,BA,10,0.3,2,,,PR,0.4,25,uniform,a3|a4|a5|a6|a7|a8,0,0,0,0,0
250,BA,10,0.3,2,,,PR,0.4,25,average,a3|a4|a5|a6|a7|a8,0,0,0,0,0
251,BA,10,0.3,2,,,PR,0.4,30,uniform,a3|a4|a6|a7|a8|a9,0,0,0,0,0
252,BA,10,0.3,2,,,PR,0.4,30,average,a3|a4|a5|a6|a7|a8,0,0,0,0,0
253,BA,10,0.3,2,,,PR,0.5,5,uniform,a0|a3|a4|a5|a6|a7,0,0,0,0,1
254,BA,10,0.3,2,,,PR,0.5,5,average,a0|a3|a4|a6|a7|a9,0,0,0,0,0
255,BA,10,0.3,2,,,PR,0.5,10,uniform,a0|a3|a4|a5|a6|a7,0,0,0,0,0
256,BA,10,0.3,2,,,PR,0.5,10,average,a0|a3|a4|a5|a6|a7,0,0,0,0,0
257,BA,10,0.3,2,,,PR,0.5,15,uniform,a3|a4|a5|a6|a7|a8,1,0,0,0,0
258,BA,10,0.3,2,,,PR,0.5,15,average,a0|a3|a4|a5|a6|a7,0,0,0,0,0
259,BA,10,0.3,2,,,PR,0.5,20,uniform,a0|a3|a4|a5|a6|a7,0,0,0,0,0
260,BA,10,0.3,2,,,PR,0.5,20,average,a3|a4|a5|a6|a7|a8,0,0,0,0,0
261,BA,10,0.3,2,,,PR,0.5,25,uniform,a3|a4|a6|a7|a8|a9,0,0,0,0,0
262,BA,10,0.3,2,,,PR,0.5,25,average,a3|a4|a5|a6|a7|a8,0,0,0,0,0
263,BA,10,0.3,2,,,PR,0.5,30,uniform,a0|a3|a4|a6|a7|a9,0,0,0,0,0
264,BA,10,0.3,2,,,PR,0.5,30,average,a0|a3|a4|a5|a6|a7,0,0,0,0,0
